studytime,absences,Medu,Fedu,avg_grade
1,5,1,1,8.6666666666666661
2,10,1,1,8.3333333333333339
1,4,4,3,9.3333333333333339
2,6,4,3,9.3333333333333339
2,2,1,1,9.6666666666666661
3,8,3,3,10.0
2,0,4,4,11.333333333333334
2,6,2,3,9.3333333333333339
2,4,1,1,9.3333333333333339
3,10,3,2,10.0
2,6,3,3,9.0
2,10,4,2,9.6666666666666661
2,18,1,1,10.666666666666666
2,4,3,2,9.6666666666666661
2,0,3,3,10.666666666666666
2,17,3,1,10.0
3,2,2,2,9.6666666666666661
1,0,4,4,9.6666666666666661
2,6,4,4,10.666666666666666
4,0,2,2,11.0
2,12,3,3,11.666666666666666
1,4,3,3,12.333333333333334
2,2,4,4,11.0
3,4,2,1,11.333333333333334
2,4,4,3,11.666666666666666
1,2,2,3,11.333333333333334
1,12,2,2,11.666666666666666
2,0,1,1,12.666666666666666
2,2,2,3,11.666666666666666
2,2,4,4,11.0
2,6,2,2,12.0
2,2,1,1,12.333333333333334
1,3,1,2,12.666666666666666
2,2,2,2,12.666666666666666
1,2,1,1,13.666666666666666
1,8,1,2,13.666666666666666
2,2,3,3,13.0
1,2,4,4,14.0
3,4,4,2,13.666666666666666
4,4,2,3,14.333333333333334
3,6,2,1,14.333333333333334
3,7,3,2,13.333333333333334
2,4,2,2,15.0
2,2,3,2,14.666666666666666
2,10,3,2,15.333333333333334
3,1,3,1,13.666666666666666
3,0,0,2,15.333333333333334
3,16,3,4,15.333333333333334
2,11,3,4,15.333333333333334
3,0,4,3,14.333333333333334
2,2,4,2,15.333333333333334
4,12,3,1,16.0
2,0,2,4,16.666666666666668
1,4,4,3,17.0
1,24,4,4,18.0
2,21,4,3,17.666666666666668
2,0,3,4,3.3333333333333335
1,0,1,2,2.3333333333333335
1,0,3,4,3.6666666666666665
2,22,4,3,5.333333333333333
1,16,3,2,5.333333333333333
2,2,1,1,6.333333333333333
2,4,3,3,5.666666666666667
2,6,3,2,7.0
2,20,1,3,8.0
2,15,2,2,7.0
2,13,3,3,6.666666666666667
1,3,2,3,7.333333333333333
1,0,3,2,7.333333333333333
1,30,4,1,8.0
4,2,2,2,8.3333333333333339
3,2,4,3,9.3333333333333339
2,4,4,3,9.3333333333333339
1,10,4,2,9.0
3,28,3,4,9.3333333333333339
1,22,4,4,9.0
1,6,4,2,10.666666666666666
2,0,4,3,10.0
1,2,1,3,10.0
2,4,2,2,10.0
1,8,3,3,9.0
1,6,1,1,9.3333333333333339
2,2,3,1,9.3333333333333339
1,19,3,2,10.0
2,4,1,3,10.0
2,4,4,4,9.0
1,0,3,2,11.0
2,12,3,3,11.333333333333334
2,54,3,3,11.333333333333334
1,16,3,4,11.333333333333334
2,2,2,2,12.333333333333334
2,11,4,2,11.333333333333334
2,0,2,2,12.666666666666666
2,0,4,4,10.666666666666666
1,8,4,4,12.0
2,4,3,3,11.333333333333334
2,14,4,3,12.0
1,0,2,1,10.666666666666666
1,6,3,3,12.0
1,18,4,4,12.666666666666666
2,2,4,4,13.333333333333334
2,0,1,4,13.0
2,4,4,4,14.333333333333334
1,4,4,2,15.333333333333334
1,0,0,2,14.333333333333334
1,3,3,1,15.333333333333334
2,13,3,4,17.0
1,0,1,1,3.6666666666666665
2,0,2,2,4.666666666666667
1,14,4,4,6.333333333333333
2,18,4,4,7.0
2,0,1,1,6.666666666666667
2,12,1,2,7.666666666666667
1,16,3,1,7.333333333333333
1,4,2,1,7.666666666666667
2,14,2,1,9.0
2,11,2,2,9.0
1,0,2,1,9.0
1,6,1,1,9.0
2,4,1,2,9.0
1,8,3,3,9.3333333333333339
3,0,3,4,10.666666666666666
1,8,2,2,10.333333333333334
2,16,4,4,11.0
1,6,1,1,9.6666666666666661
4,4,4,4,12.666666666666666
4,6,4,4,12.0
2,13,4,4,12.333333333333334
2,0,2,2,12.666666666666666
2,4,2,2,13.333333333333334
1,10,3,2,12.333333333333334
1,6,2,1,13.0
2,2,4,3,16.0
1,3,3,3,15.0
1,8,4,4,18.0
